Índice	IDUNIDADE	METAJUNJUL	DTFIM	ANO
2372	1001025621	161	31/01/2022	2022
2373	3001000071	127	31/01/2022	2022
2374	3001012572	13	31/01/2022	2022
2375	1001041508	12	31/01/2022	2022
2376	1001012518	490	31/01/2022	2022
2377	1051013969	66	31/01/2022	2022
2378	1006027447	22	31/01/2022	2022
2379	1001012562	23	31/01/2022	2022
2380	1001156508	30	31/01/2022	2022
2381	1001012558	94	31/01/2022	2022
2382	3001000073	112	31/01/2022	2022
2383	1001012540	216	31/01/2022	2022
2384	1051013973	158	31/01/2022	2022
2385	1001012554	19	31/01/2022	2022
2386	1001012552	118	31/01/2022	2022
2387	3001000045	158	31/01/2022	2022
2388	1001012520	121	31/01/2022	2022
2389	1001012496	14	31/01/2022	2022
2390	1001012538	89	31/01/2022	2022
2391	3001000050	114	31/01/2022	2022
2392	1001012536	121	31/01/2022	2022
2393	1001012606	17	31/01/2022	2022
2394	3001000055	131	31/01/2022	2022
2395	1001012534	139	31/01/2022	2022
2396	1001012506	21	31/01/2022	2022
2397	3001000079	108	31/01/2022	2022
2398	3005000075	92	31/01/2022	2022
2399	3070000090	111	31/01/2022	2022
2400	3009000089	35	31/01/2022	2022
2401	3010000093	71	31/01/2022	2022
2402	3024000094	83	31/01/2022	2022
2403	3133000087	110	31/01/2022	2022
2404	3033000084	28	31/01/2022	2022
2405	3048000088	32	31/01/2022	2022
2406	3097011930	29	31/01/2022	2022
2407	3055000076	11	31/01/2022	2022
2408	3005011814	1	31/01/2022	2022
2409	3051023299	6	31/01/2022	2022
2410	3005023099	0	31/01/2022	2022
2411	3015017708	0	31/01/2022	2022
2412	3028012036	5	31/01/2022	2022
2413	3045012319	0	31/01/2022	2022
2414	3051014108	8	31/01/2022	2022
2415	1024014668	12	31/01/2022	2022
2416	1010023139	26	31/01/2022	2022
2417	1063014527	19	31/01/2022	2022
2418	1021022682	26	31/01/2022	2022
2419	1011019799	7	31/01/2022	2022
2420	4201000111	1249	31/01/2022	2022
2421	1005011709	3	31/01/2022	2022
2422	1015012335	11	31/01/2022	2022
2423	1028012034	6	31/01/2022	2022
2424	1045012221	8	31/01/2022	2022
2425	1051013971	4	31/01/2022	2022
2426	1115115001	121	31/01/2022	2022
2427	1001012600	113	31/01/2022	2022
2428	1065361511	46	31/01/2022	2022
2429	1070011392	91	31/01/2022	2022
2430	1008011830	76	31/01/2022	2022
2431	1097019012	48	31/01/2022	2022
2432	1009083507	100	31/01/2022	2022
2433	1136114507	37	31/01/2022	2022
2434	1013027887	48	31/01/2022	2022
2435	1024014666	121	31/01/2022	2022
2436	1133013781	68	31/01/2022	2022
2437	1115168508	33	31/01/2022	2022
2438	1039013589	148	31/01/2022	2022
2439	1045012217	148	31/01/2022	2022
2440	1049013440	46	31/01/2022	2022
2441	1061011586	65	31/01/2022	2022
2442	1040277510	93	31/01/2022	2022
2443	1001012608	10	31/01/2022	2022
2444	1001013121	101	31/01/2022	2022
2445	1006011112	97	31/01/2022	2022
2446	1006011120	44	31/01/2022	2022
2447	1001013123	27	31/01/2022	2022
2448	1051013979	170	31/01/2022	2022
2449	1004026445	45	31/01/2022	2022
2450	3017000082	98	31/01/2022	2022
2451	3039088507	79	31/01/2022	2022
2452	3001000065	91	31/01/2022	2022
2453	3051000083	98	31/01/2022	2022
2454	3001000201	202	31/01/2022	2022
2455	3015000085	167	31/01/2022	2022
2456	3040000062	214	31/01/2022	2022
2457	3045000092	68	31/01/2022	2022
2458	3049000078	67	31/01/2022	2022
2459	3001000061	36	31/01/2022	2022
2460	3006026674	9	31/01/2022	2022
2461	3001013127	4	31/01/2022	2022
2462	3051000081	181	31/01/2022	2022
2463	3001012624	6	31/01/2022	2022
2464	1006011116	15	31/01/2022	2022
2465	1001000201	24	31/01/2022	2022
2466	1076076001	103	31/01/2022	2022
